"esr";"status";"type";"osm_id";"lat";"lon";"name";"alt_name";"old_name";"official_name";"railway";"user"
"162510";"1";"0";"306066299";"54.18131256";"26.25777054";"Мельковщизна";"";"";"";"halt";"162510"
"162525";"1";"0";"2773691526";"54.20345688";"26.29891586";"Ластоянцы";"";"";"";"halt";"162525"
"162530";"1";"0";"306066302";"54.21815872";"26.36915588";"Листопады";"";"";"";"halt";"162530"
"162607";"1";"0";"306066215";"54.22029114";"26.44889832";"Воложин";"";"";"";"station";"162607"
"162614";"1";"0";"306066218";"54.21807098";"26.5216732";"Шипуличи";"";"";"";"halt";"162614"
"162633";"1";"0";"2774608148";"54.21788025";"26.6146946";"Березинское";"";"";"";"halt";"162633"
"162703";"1";"0";"2774608150";"54.22798538";"26.70767784";"Полочаны";"";"";"";"station";"162703"
"162718";"1";"0";"2774608152";"54.26286697";"26.77060318";"Сечки";"";"";"";"halt";"162718"
"162807";"1";"0";"306066060";"54.29918289";"26.81079102";"Каледино";"";"";"";"station";"162807"
"162900";"1";"1";"156706484";"54.31580734";"26.82943153";"Молодечно";"";"";"";"station";""
"162900";"1";"0";"306066069";"54.31620026";"26.83827591";"Молодечно";"";"";"";"station";"162900"
"162915";"1";"0";"306065639";"54.35464096";"26.85943794";"Тышкевичи";"";"";"";"halt";"162915"
"162926";"1";"0";"306065647";"54.42103958";"26.88002396";"Домановский";"";"";"";"halt";"162926"
"162934";"1";"0";"306065648";"54.46186066";"26.8882122";"Красный Бережок";"";"";"";"halt";"162934"
"162949";"1";"0";"1390613647";"54.48176956";"26.88599968";"Зенит";"";"";"";"halt";"162949"
"163000";"1";"0";"306068713";"54.59667206";"25.89274597";"Гудогай";"";"";"";"station";"163000"
"163015";"1";"0";"306068696";"54.5533371";"26.00260353";"Скрестины";"";"";"";"halt";"163015"
"163021";"1";"0";"2731116199";"54.57123566";"25.95202637";"Каменка";"";"";"";"halt";"163021"
"163104";"1";"0";"5002186635";"54.5314064";"26.08095932";"Ошмяны";"";"";"";"station";"163104"
"163208";"1";"0";"6768823616";"54.50977707";"26.19248009";"Солы";"";"";"";"station";""
"163212";"1";"0";"271038193";"54.4961319";"26.26973915";"Гаути";"";"";"";"halt";"163212"
"163301";"1";"1";"38280869";"54.47552872";"26.37148476";"Сморгонь";"";"";"";"station";""
"163301";"1";"0";"1390823768";"54.47531891";"26.37131119";"Сморгонь";"";"";"";"station";"163301"
"163316";"1";"0";"271038592";"54.45672607";"26.4568119";"Белосельский";"";"";"";"halt";"163316"
"163320";"1";"0";"306068556";"54.47178268";"26.40576744";"Молодёжный";"";"";"";"halt";"163320"
"163405";"1";"0";"306068550";"54.42125702";"26.54111481";"Залесье";"";"";"";"station";"163405"
"163417";"1";"0";"489362763";"54.38999557";"26.59670067";"Засковичи";"";"";"";"halt";"163417"
"163509";"1";"0";"306066255";"54.36623001";"26.66118431";"Пруды";"";"";"";"station";"163509"
"163513";"1";"0";"1390823765";"54.34260941";"26.70734596";"Мороськи";"";"";"";"halt";"163513"
"163528";"1";"0";"306066250";"54.33175278";"26.73029518";"Асановский";"";"";"";"halt";"163528"
"163532";"1";"0";"1390823766";"54.32081223";"26.77220535";"Носилово";"";"";"";"halt";"163532"
"163602";"1";"0";"1390613645";"54.50252914";"26.92916679";"Вилейка";"";"";"";"station";"163602"
"163617";"1";"0";"306065629";"54.55920792";"26.98980141";"Куренец";"";"";"";"halt";"163617"
"163621";"1";"0";"306065611";"54.61628342";"27.08268356";"Страж";"";"";"";"halt";"163621"
"163636";"1";"0";"306065613";"54.64145279";"27.13049889";"Нивки";"";"";"";"halt";"163636"
"163706";"1";"0";"306065959";"54.67496109";"27.18328667";"Княгинин";"";"";"";"station";"163706"
"163710";"1";"1";"784486529";"54.73898697";"27.29664993";"Кривичи";"";"";"";"halt";""
"163710";"1";"0";"306065932";"54.73892975";"27.29674911";"Кривичи";"";"";"";"halt";"163710"
"163802";"1";"0";"4568623545";"54.7911644";"27.4071312";"Будслав";"";"";"";"station";"163802"
"163814";"1";"0";"306065052";"54.83913422";"27.50836754";"Вереньки";"Вереники";"";"";"halt";"163814"
"163829";"1";"0";"271040361";"54.82055283";"27.46164894";"Илово";"";"";"";"halt";"163829"
"163903";"1";"0";"306065007";"54.87859344";"27.60302734";"Парафьяново";"";"";"";"station";"163903"
"163918";"1";"0";"306064938";"54.954422";"27.66736412";"Порплище";"";"";"";"halt";"163918"
"163922";"1";"0";"1648442805";"54.98955536";"27.70365143";"Володьки";"";"";"";"halt";"163922"
"164003";"1";"0";"306064927";"55.02835083";"27.7818737";"Крулевщизна";"";"";"";"station";"164003"
"164018";"1";"0";"1390617525";"55.07648468";"27.82938766";"Шипы";"";"";"";"halt";"164018"
"164215";"1";"0";"2377498212";"55.1380043";"26.68389893";"Ярево";"";"";"";"halt";"164215"
"164249";"1";"0";"306065255";"55.12677765";"26.51135635";"Камайка";"";"";"";"halt";"164249"
"164253";"1";"0";"306065264";"55.08615112";"26.41954613";"Разлоги";"";"";"";"halt";"164253"
"164304";"1";"0";"1236299652";"55.12330246";"26.85759926";"Поставы";"";"";"";"station";"164304"
"164323";"1";"0";"1390888236";"55.13523102";"27.02960014";"Новосёлки";"";"";"";"halt";"164323"
"164338";"1";"0";"306065054";"55.15047836";"27.08629608";"Жефарово";"";"";"";"halt";"164338"
"164408";"1";"0";"306065061";"55.1415863";"27.20365715";"Воропаево";"";"";"";"station";"164408"
"164412";"1";"0";"1390888227";"55.13904953";"27.32034111";"Ляховщина";"";"";"";"halt";"164412"
"164427";"1";"0";"306065044";"55.14933777";"27.3811245";"Новодруцк";"";"";"";"halt";"164427"
"164431";"1";"0";"1390888192";"55.13790131";"27.42147827";"Веретеи";"";"";"";"halt";"164431"
"164446";"1";"0";"1390888243";"55.13391876";"27.26502419";"Чёрное";"";"";"";"halt";"164446"
"164450";"1";"0";"306065039";"55.13079453";"27.49910736";"Константинов Двор";"";"";"";"halt";"164450"
"164465";"1";"0";"306065027";"55.13372803";"27.583992";"Шарабаи";"";"";"";"halt";"164465"
"164516";"1";"0";"306065263";"55.04127121";"26.31083107";"Лынтупы";"";"";"";"station";"164516"
"164520";"1";"0";"306065260";"54.9766655";"26.25577736";"Пескаришки";"";"";"";"halt";"164520"
"164535";"1";"0";"1613914557";"55.00073624";"26.27624702";"Масленники";"";"";"";"halt";"164535"
"164605";"1";"0";"306065017";"55.77833557";"27.48041153";"Друя";"";"";"";"station";"164605"
"164612";"1";"0";"664271334";"55.70129013";"27.58069038";"Идолты";"";"";"";"halt";"164612"
"164709";"1";"0";"130200701";"55.62588501";"27.60735512";"Миоры";"";"";"";"station";"164709"
"164713";"1";"0";"306065033";"55.50139236";"27.52526283";"Зори";"";"";"";"halt";"164713"
"164802";"1";"0";"306065015";"55.36800385";"27.4695797";"Шарковщина";"Шарковщина";"";"";"station";"164802"
"164836";"1";"0";"1390888218";"55.20575333";"27.19514847";"Гута";"";"";"";"halt";"164836"
"164906";"1";"0";"1390888197";"55.13287735";"27.67177391";"Глубокое";"";"";"";"station";"164906"
"165006";"1";"0";"306064922";"55.16120148";"27.97576714";"Подсвилье";"";"";"";"station";"165006"
"165025";"1";"0";"1613920597";"55.23830032";"29.85719872";"Краево";"";"";"";"halt";"165025"
"165037";"1";"0";"1390613646";"55.09643555";"27.85698509";"Замошье";"";"";"";"halt";"165037"
"165103";"1";"0";"306064920";"55.21461487";"28.07913971";"Боровое";"";"";"";"station";"165103"
"165114";"1";"0";"247895719";"55.25709915";"28.17463493";"Зябки";"";"";"";"station";"165114"
"165129";"1";"0";"306064893";"55.28556061";"28.22182083";"Полеваче";"";"";"";"halt";"165129"
"165133";"1";"0";"1026471163";"55.3050766";"28.29601479";"Кульгаи";"";"";"";"halt";"165133"
"165148";"1";"0";"306064880";"55.34594345";"28.34653473";"Загатье";"";"";"";"station";"165148"
"165152";"1";"0";"306064884";"55.40671539";"28.4734726";"Ветрино";"";"";"";"halt";"165152"
"165203";"1";"0";"306064844";"55.42407227";"28.58177757";"Фариново";"";"";"";"station";"165203"
"165307";"1";"0";"306067256";"55.45374298";"28.72043991";"Ксты";"";"";"";"station";"165307"
"165311";"1";"0";"119298140";"55.44978333";"28.94367981";"Фомино";"";"";"";"halt";"165311"
"165608";"1";"0";"306065981";"54.98843384";"30.94012642";"Заольша";"";"";"";"station";"165608"
"165612";"1";"0";"306065960";"55.0045166";"30.86894226";"Черницы";"";"";"";"halt";"165612"
"165701";"1";"0";"306065947";"55.01355743";"30.79576492";"Лиозно";"";"";"";"station";"165701"
"165716";"1";"0";"306065952";"55.02501297";"30.70469856";"Шахи";"";"";"";"halt";"165716"
